ROUTE,COUNTY,POST_MILE,YEAR,AM_DIR,AM_PEAK_VOL_PEAK_DIR,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
1,ORA,22.5,17,S,2536,8.78,78.22,6.87,8,WED,NOV,N,2596.00,8.92,78.86,7.03,18,WED,FEB
1,ORA,30.141,16,N,14488,34.33,82.69,28.39,9,FRI,JUN,S,3012.00,7.82,75.49,5.9,19,WED,OCT
1,LA,18.09,15,N,1143,6.58,59.44,3.91,8,THU,OCT,S,1321.00,8.02,56.31,4.52,17,TUE,NOV
1,LA,27.1,17,N,4363,7.51,70.25,5.27,7,TUE,OCT,N,3980.00,7.66,62.8,4.81,17,TUE,JUN
1,LA,40.769,16,N,2106,7.83,55.04,4.31,12,MON,FEB,N,2742.00,9.64,58.2,5.61,17,TUE,JAN
1,LA,48.171,16,N,1440,8.94,54.65,4.89,11,SAT,AUG,S,1497.00,9.91,51.27,5.08,15,FRI,MAR
1,SB,0,17,S,752,11.23,84.12,9.44,6,WED,SEP,N,722.00,10.65,85.14,9.07,18,TUE,NOV
1,SB,19.251,16,S,886,11.35,92,10.45,6,THU,FEB,N,768.00,11.07,81.79,9.05,17,MON,AUG
1,SB,20.565,17,S,528,8.77,52.49,4.6,12,SAT,MAR,N,538.00,8.96,52.34,4.69,15,FRI,MAR
1,SB,22.519,17,N,1332,8.62,57.09,4.92,7,TUE,FEB,S,1399.00,9.21,56.12,5.17,16,THU,JUN
1,SB,23.296,17,N,1117,9.25,58.51,5.41,7,THU,MAY,S,1049.00,9.99,50.9,5.08,17,WED,AUG
1,SB,26.69,17,N,1112,10.64,63.11,6.71,7,THU,NOV,S,972.00,9.43,62.27,5.87,17,MON,FEB
1,SB,29.891,17,S,1102,9.53,71.98,6.86,11,FRI,SEP,S,1052.00,10.6,61.77,6.55,17,TUE,AUG
1,SB,29.891,17,S,1124,11.74,58.94,6.92,7,THU,SEP,N,1282.00,11.76,67.12,7.89,16,THU,NOV
1,SB,36.189,17,S,1119,12.44,59.78,7.44,7,TUE,SEP,N,1255.00,12.61,66.16,8.34,16,TUE,SEP
1,SB,31.042,17,S,1437,9.93,75.63,7.51,6,WED,APR,N,1526.00,11.99,66.52,7.98,16,THU,JUL
1,SB,41.81,17,N,282,13.35,72.31,9.65,6,TUE,OCT,S,269.00,14.03,65.61,9.21,16,TUE,AUG
1,SB,49.199,17,N,297,7.92,58.47,4.63,6,FRI,OCT,S,404.00,10.99,57.31,6.3,16,MON,JUL
1,SLO,15.268,17,N,773,9.4,73.55,6.91,10,THU,APR,S,653.00,9.75,59.85,5.84,17,MON,APR
1,SLO,16.77,17,N,1533,8.44,61.64,5.2,12,THU,FEB,N,1727.00,7.65,76.55,5.86,14,FRI,SEP
1,SLO,27.883,17,S,1242,7.97,59.8,4.77,8,TUE,APR,N,1482.00,9.54,59.61,5.69,17,TUE,APR
1,SLO,48.26,17,N,533,12.63,56.7,7.16,12,TUE,DEC,S,586.00,13.84,56.89,7.87,16,FRI,DEC
1,MON,75.135,16,S,2330,7.55,62.82,4.74,8,FRI,OCT,N,2484.00,8.59,58.84,5.06,16,MON,OCT
1,MON,79.357,16,S,4022,7.96,68.45,5.45,7,THU,JUL,N,3821.00,8.12,63.77,5.18,15,THU,OCT
1,MON,89.177,16,S,3140,7.92,71.4,5.66,7,WED,JAN,N,3517.00,9.47,66.9,6.34,16,THU,JUL
1,SM,0,16,S,470,15.79,58.68,9.26,12,SUN,JUL,S,480.00,15.85,59.7,9.46,13,SUN,JUL
1,SM,18.189,16,S,586,13.64,60.04,8.19,12,SAT,JUL,N,692.00,15.92,60.76,9.67,15,SUN,APR
1,SM,18.189,16,S,652,15.17,59.27,8.99,12,SUN,JUL,N,800.00,17.2,64.15,11.03,16,SUN,APR
1,SM,26.432,16,S,671,11.23,65.85,7.39,10,SAT,JUL,N,744.00,13.05,62.84,8.2,17,SUN,JUL
1,SM,30.225,16,S,1228,7.2,62.91,4.53,7,MON,APR,N,1262.00,8.53,54.59,4.66,15,FRI,APR
1,SM,35.336,16,S,1004,10.44,59.73,6.24,12,SAT,OCT,N,1006.00,11.49,54.38,6.25,15,SUN,OCT
1,SM,43.464,16,N,3093,8.22,74.58,6.13,7,THU,APR,S,2638.00,8,65.36,5.23,16,TUE,JAN
1,SF,4.05,16,N,2535,6.44,55.35,3.56,10,SAT,OCT,S,2505.00,6.7,52.55,3.52,16,TUE,JAN
1,MRN,0,16,S,845,7.66,67.12,5.14,8,TUE,APR,N,967.00,8.83,66.64,5.88,17,TUE,OCT
1,MRN,3.35,16,N,465,18.81,62,11.66,11,SUN,APR,S,563.00,16.9,83.53,14.12,18,SUN,APR
1,MRN,28.6,16,N,356,14.5,65.08,9.44,10,SAT,JUL,N,406.00,18.61,57.84,10.76,13,SAT,JUL
1,SON,0.19,16,N,75,11.37,60.98,6.93,12,MON,APR,N,94.00,12.66,68.61,8.69,13,MON,APR
1,MEN,2.5,17,S,199,11.85,55.74,6.6,10,SAT,MAY,N,211.00,11.32,61.88,7,17,FRI,AUG
1,MEN,15.95,16,S,167,12.84,60.73,7.8,12,SUN,AUG,N,150.00,12.65,55.35,7,15,MON,AUG
1,MEN,33.91,17,N,99,13.64,55.31,7.55,10,SUN,JUN,N,100.00,14.18,53.76,7.62,16,FRI,JUN
1,MEN,42.95,17,S,312,16.81,61.06,10.26,11,SUN,JUN,S,279.00,12.01,76.44,9.18,17,THU,MAR
1,MEN,49.37,16,N,367,11.7,53.42,6.25,12,SAT,AUG,N,397.00,11.94,56.63,6.76,13,SAT,AUG
1,MEN,90.63,16,N,73,22.12,60.33,13.35,12,MON,AUG,S,93.00,25.41,66.91,17,14,SUN,AUG
1,MEN,105.48,17,S,82,17.01,62.12,10.57,12,WED,AUG,N,87.00,19.85,56.49,11.21,15,WED,AUG
2,LA,20.574,16,W,7348,8.73,70.82,6.18,8,TUE,SEP,E,7042.00,9.49,62.41,5.92,16,TUE,APR
2,LA,21.9,15,W,7587,9.1,69.94,6.36,7,WED,APR,E,7451.00,9.65,64.73,6.25,17,THU,APR
3,TRI,0,15,S,40,11.29,57.97,6.55,11,THU,NOV,N,39.00,10.31,61.91,6.38,13,FRI,NOV
3,TRI,7.2,15,N,153,12.46,52.22,6.51,11,FRI,MAY,S,148.00,12,52.48,6.3,14,FRI,MAY
3,TRI,30.889,15,N,97,9.07,69.78,6.33,8,TUE,MAY,S,85.00,8.87,62.5,5.54,17,FRI,MAY
3,TRI,30.86,15,S,252,12.67,57.27,7.26,12,WED,NOV,S,227.00,11.38,57.47,6.54,15,THU,NOV
3,TRI,37.9,15,N,60,10.01,57.69,5.77,12,FRI,MAY,N,84.00,12.22,66.14,8.08,16,FRI,SEP
3,TRI,59.64,15,S,33,9.37,67.35,6.31,9,THU,NOV,S,47.00,12.05,74.6,8.99,16,SAT,MAY
3,SIS,8.8,17,N,32,12.83,66.67,8.56,9,SAT,AUG,S,33.00,13.9,63.46,8.82,14,THU,AUG
3,SIS,32.2,17,N,264,9.83,64.39,6.33,7,MON,MAY,S,248.00,9.4,63.27,5.95,17,TUE,FEB
3,SIS,44.67,17,N,192,8.66,72.18,6.25,7,TUE,NOV,S,212.00,10.45,66.04,6.9,17,TUE,AUG
3,SIS,47.264,17,S,866,10.9,51.36,5.6,12,FRI,FEB,N,815.00,10.43,50.53,5.27,15,FRI,NOV
3,SIS,49.207,17,N,482,10.21,50.31,5.14,12,WED,MAY,N,566.00,9.77,61.72,6.03,17,WED,MAY
3,SIS,47.38,17,S,233,8.51,80.07,6.81,7,WED,NOV,N,212.00,10,61.99,6.2,16,THU,NOV
4,CC,0,15,E,1479,8.45,74.47,6.3,7,WED,JUN,E,1802.00,10.5,73.02,7.67,17,WED,SEP
4,CC,8.549,15,E,2231,8.11,56.97,4.62,7,THU,DEC,E,2267.00,9.08,51.72,4.7,16,TUE,SEP
4,CC,11.4,17,W,3456,6.6,51.81,3.42,7,THU,NOV,E,3334.00,6.1,54.03,3.3,14,FRI,JUL
