DI,RTE,CO,PRE,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
12,001,ORA,,22.500,623,O,17,S,2536,8.780,78.220,6.870,8,WED,NOV,N,"2,596",8.920,78.860,7.030,18,WED,FEB
12,001,ORA,,30.141,937,A,16,N,14488,34.330,82.690,28.390,9,FRI,JUN,S,"3,012",7.820,75.490,5.900,19,WED,OCT
07,001,LA,,18.090,7,A,15,N,1143,6.580,59.440,3.910,8,THU,OCT,S,"1,321",8.020,56.310,4.520,17,TUE,NOV
07,001,LA,,27.100,425,O,17,N,4363,7.510,70.250,5.270,7,TUE,OCT,N,"3,980",7.660,62.800,4.810,17,TUE,JUN
07,001,LA,,40.769,720,A,16,N,2106,7.830,55.040,4.310,12,MON,FEB,N,"2,742",9.640,58.200,5.610,17,TUE,JAN
07,001,LA,,48.171,45,A,16,N,1440,8.940,54.650,4.890,11,SAT,AUG,S,"1,497",9.910,51.270,5.080,15,FRI,MAR
05,001,SB,R,0.000,517,A,17,S,752,11.230,84.120,9.440,6,WED,SEP,N,722,10.650,85.140,9.070,18,TUE,NOV
05,001,SB,,19.251,296,B,16,S,886,11.350,92.000,10.450,6,THU,FEB,N,768,11.070,81.790,9.050,17,MON,AUG
05,001,SB,,20.565,518,A,17,S,528,8.770,52.490,4.600,12,SAT,MAR,N,538,8.960,52.340,4.690,15,FRI,MAR
05,001,SB,,22.519,294,O,17,N,1332,8.620,57.090,4.920,7,TUE,FEB,S,"1,399",9.210,56.120,5.170,16,THU,JUN
05,001,SB,R,23.296,286,A,17,N,1117,9.250,58.510,5.410,7,THU,MAY,S,"1,049",9.990,50.900,5.080,17,WED,AUG
05,001,SB,R,26.690,288,A,17,N,1112,10.640,63.110,6.710,7,THU,NOV,S,972,9.430,62.270,5.870,17,MON,FEB
05,001,SB,M,29.891,539,B,17,S,1102,9.530,71.980,6.860,11,FRI,SEP,S,"1,052",10.600,61.770,6.550,17,TUE,AUG
05,001,SB,M,29.891,290,A,17,S,1124,11.740,58.940,6.920,7,THU,SEP,N,"1,282",11.760,67.120,7.890,16,THU,NOV
05,001,SB,M,36.189,292,B,17,S,1119,12.440,59.780,7.440,7,TUE,SEP,N,"1,255",12.610,66.160,8.340,16,TUE,SEP
05,001,SB,R,31.042,223,A,17,S,1437,9.930,75.630,7.510,6,WED,APR,N,"1,526",11.990,66.520,7.980,16,THU,JUL
05,001,SB,,41.810,519,A,17,N,282,13.350,72.310,9.650,6,TUE,OCT,S,269,14.030,65.610,9.210,16,TUE,AUG
05,001,SB,,49.199,128,A,17,N,297,7.920,58.470,4.630,6,FRI,OCT,S,404,10.990,57.310,6.300,16,MON,JUL
05,001,SLO,,15.268,142,O,17,N,773,9.400,73.550,6.910,10,THU,APR,S,653,9.750,59.850,5.840,17,MON,APR
05,001,SLO,,16.770,520,A,17,N,1533,8.440,61.640,5.200,12,THU,FEB,N,"1,727",7.650,76.550,5.860,14,FRI,SEP
05,001,SLO,,27.883,271,A,17,S,1242,7.970,59.800,4.770,8,TUE,APR,N,"1,482",9.540,59.610,5.690,17,TUE,APR
05,001,SLO,,48.260,551,A,17,N,533,12.630,56.700,7.160,12,TUE,DEC,S,586,13.840,56.890,7.870,16,FRI,DEC
05,001,MON,,75.135,259,A,16,S,2330,7.550,62.820,4.740,8,FRI,OCT,N,"2,484",8.590,58.840,5.060,16,MON,OCT
05,001,MON,R,79.357,261,B,16,S,4022,7.960,68.450,5.450,7,THU,JUL,N,"3,821",8.120,63.770,5.180,15,THU,OCT
05,001,MON,R,89.177,525,O,16,S,3140,7.920,71.400,5.660,7,WED,JAN,N,"3,517",9.470,66.900,6.340,16,THU,JUL
04,001,SM,,0.000,163,A,16,S,470,15.790,58.680,9.260,12,SUN,JUL,S,480,15.850,59.700,9.460,13,SUN,JUL
04,001,SM,,18.189,47,A,16,S,586,13.640,60.040,8.190,12,SAT,JUL,N,692,15.920,60.760,9.670,15,SUN,APR
04,001,SM,,18.189,46,B,16,S,652,15.170,59.270,8.990,12,SUN,JUL,N,800,17.200,64.150,11.030,16,SUN,APR
04,001,SM,,26.432,433,B,16,S,671,11.230,65.850,7.390,10,SAT,JUL,N,744,13.050,62.840,8.200,17,SUN,JUL
04,001,SM,,30.225,164,B,16,S,1228,7.200,62.910,4.530,7,MON,APR,N,"1,262",8.530,54.590,4.660,15,FRI,APR
04,001,SM,,35.336,165,B,16,S,1004,10.440,59.730,6.240,12,SAT,OCT,N,"1,006",11.490,54.380,6.250,15,SUN,OCT
04,001,SM,R,43.464,166,B,16,N,3093,8.220,74.580,6.130,7,THU,APR,S,"2,638",8.000,65.360,5.230,16,TUE,JAN
04,001,SF,,4.050,103,B,16,N,2535,6.440,55.350,3.560,10,SAT,OCT,S,"2,505",6.700,52.550,3.520,16,TUE,JAN
04,001,MRN,,0.000,64,A,16,S,845,7.660,67.120,5.140,8,TUE,APR,N,967,8.830,66.640,5.880,17,TUE,OCT
04,001,MRN,,3.350,408,A,16,N,465,18.810,62.000,11.660,11,SUN,APR,S,563,16.900,83.530,14.120,18,SUN,APR
04,001,MRN,,28.600,65,A,16,N,356,14.500,65.080,9.440,10,SAT,JUL,N,406,18.610,57.840,10.760,13,SAT,JUL
04,001,SON,,0.190,1,B,16,N,75,11.370,60.980,6.930,12,MON,APR,N,94,12.660,68.610,8.690,13,MON,APR
01,001,MEN,,2.500,180,O,17,S,199,11.850,55.740,6.600,10,SAT,MAY,N,211,11.320,61.880,7.000,17,FRI,AUG
